193.193.187.51 - - [24/Sep/2015:12:29:52 +0400] "GET / HTTP/1.1" 200 29514 "-" "Mozilla/5.0 (X11; Linux i686; rv:25.7) Gecko/20150820 Firefox/31.9 PaleMoon/25.7.0"
91.108.62.229 - - [24/Sep/2015:12:30:03 +0400] "GET / HTTP/1.1" 200 26246 "http://yandex.ru/yandsearch" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
195.88.154.189 - - [24/Sep/2015:12:30:09 +0400] "GET / HTTP/1.1" 200 9628 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36"
91.108.62.229 - - [24/Sep/2015:12:30:11 +0400] "GET /id30414 HTTP/1.1" 200 16552 "http://yandex.ru/yandsearch" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
91.212.168.185 - - [24/Sep/2015:12:30:12 +0400] "GET / HTTP/1.1" 200 9838 "http://yandex.ru/yandsearch" "foobar"
91.219.250.204 - - [24/Sep/2015:12:30:14 +0400] "GET / HTTP/1.1" 200 19767 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36 OPR/32.0.1948.25"
185.11.51.10 - - [24/Sep/2015:12:30:14 +0400] "GET / HTTP/1.1" 200 17836 "http://google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
31.135.120.57 - - [24/Sep/2015:12:30:18 +0400] "GET / HTTP/1.1" 200 32599 "-" "Mozilla/5.0 (Windows NT 5.1; rv:25.5) Gecko/20150609 Firefox/31.9 PaleMoon/25.5.0"
185.11.51.10 - - [24/Sep/2015:12:30:20 +0400] "GET /id73911 HTTP/1.1" 200 16872 "http://google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
188.95.189.202 - - [24/Sep/2015:12:30:21 +0400] "GET / HTTP/1.1" 200 30787 "http://bing.com/" "Mozilla/5.0 (Windows NT 5.1; U; de; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 Opera 11.00"
195.88.154.189 - - [24/Sep/2015:12:30:24 +0400] "GET /id31507 HTTP/1.1" 200 9117 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36"
